Titre du livre,Thèmes,Auteur.ice,Année,Discipline,Pays
"Féminisme et réseaux sociaux - une histoire d’amour et de haine","médias,réseaux sociaux",Elvire Duvelle-Charles,2022,"Essai,Sciences sociales",France
Jewish Radical Feminism - Voices from the Women's Liberation Movement,"femmes juives,féminisme radical,féminisme radical juif",Joyce Antler,2018,Histoire,Etats-Unis
"Les jeunes,la sexualité et internet","Tinder,numérique,sexualité.s","Arthur Vuattoux,Yaëlle Amsellem-Mainguy",2020,"Enquête,Sciences sociales,Sociologie",France
"Qui a peur des vieilles ?","injonctions,ménopause,vieillesse",Marie Charrel,2021,Essai,France
L’anatomie politique. Catégories et idéologies du sexe,"genre,organisation sociale,sexe",Nicole-Claude Mathieu,1991,Anthropologie,France
Les hommes violents,"domination masculine,instrumentalisation de la violence,masculinité toxique,rapport de domination,violence,violences conjugales",Daniel Welzer-Lang,1996,Sociologie,France
"Sexe,race et pratique du pouvoir. L’idée de nature","Nature,appropriation des corps,corps,féminisme matérialiste,matérialité,pouvoir,race,sexage,sexe,travail domestique,travail reproductif",Colette  Guillaumin,1992,Sociologie,France
Guide des amours plurielles,"couple,mariage,parentalité.s,polyamours,relation non monogame",Françoise Simpère,2020,Guide,France
Bas les voiles !,"Iran,corps,voile",Chahdortt Djavann,2003,Essai,Iran
"Souvenez-vous,résistez,ne cédez pas - Anthologie","appropriation des corps,corps,domination masculine,lesbianisme,lesbianisme politique,prostitution,violences,violences sexuelles",Andrea Dworkin,2017,Essai,Etats-Unis
Les oubliées du numérique,"domination masculine,inégalités,numérique",Isabelle Collet,2019,"Essai,Sciences",France
"A propos d’autonomie,d’amitié sexuelle et d’hétérosexualité","LGBT,bisexualité,féminisme anarchiste,féminisme radical,polyamours,relation non monogame",Corinne Monnet,1997,Essai,France
"Le Nouveau Guide des amours plurielles: 10 ans,20 ans après:""itinéraires de polyamoureux""","polyamours,relation non monogame",Françoise Simpère,2019,Guide,France
Genre et économie : un premier éclairage,"division sexuelle du travail,genre,travail domestique,travail gratuit","Christine Verschuur,Jeanne Bisilliat",1996,"Anthropologie,Economie",Suisse
"Les bons comptes font les bons amants,pour que couple et argent fassent bon ménage","argent,couple,domination masculine,mariage,patrimoine,rapport de domination",Héloïse Bolle,2019,Essai,France
Au tribunal des couples. Enquête sur des affaires familiales,"argent,couple,divorce,justice,patrimoine,séparation",Collectif Onze,2013,"Droit,Juridique,Sociologie",France
11 brefs essais pour l'égalité des sexes - Horizons féministes émergents,"égalité,égalité des genres,égalité des sexes",Noémie Désilets-Courteau,2019,Essai,"Canada,Québec"
Abécédaire du féminisme,"genre,injonction à la beauté,injonctions,maternité.s,sexualité.s","Marie-Louise Arsenault,Noémie Désilets-Courteau",2016,Abécédaire,"Canada,Québec"
Pornodyssée - Une saison dans l'industrie pornographique québécoise,"TDS,industrie pornographique,pornographie",Jean-Marc Beausoleil,2020,Essai,"Canada,Québec"
"Luttes d’hier,luttes d’aujourd’hui : conversations avec des féministes révolutionnaires","anti-racisme,anticapitalisme,antiracisme,féminisme anti-carcéral,féminisme marxiste,féminisme révolutionnaire,marxisme,queer","Brenna Bhandar,Rafeef Ziadah",2020,"Essai,Sciences sociales","Canada,Palestine"
Rape: From Lucretia to #MeToo,"#MeToo,viol,violences sexuelles",Mithu M. Sanyal,2019,Essai,Allemagne
Revolting Prostitutes: The Fight for Sex Workers’ Rights,"TDS,droits des femmes,prostitution,sexualité.s,travailleur.euse.s du sexe","Juno Mac,Molly Smith","2018","Essai,Sciences sociales",Royaume-Uni
Trois mois sous silence - Le tabou de la condition des femmes en début de grossesse,"grossesse,maternité.s,parentalité.s",Judith Aquien,2021,Essai,France
"Genre,pouvoirs et justice sociale","activisme,inégalités,lutte pour les droits des femmes","Christine Verschuur,Fenneke Reysoo",2003,Anthropologie,Suisse
Dictionnaire critique du sexisme linguistique,"sexisme,sexisme ordinaire","Michaël Lessard,Suzanne Zaccour",2017,Linguistique,"Canada,Québec"
"Genre,nouvelle division internationale du travail et migrations","droits des femmes,genre,lutte pour les droits des femmes,migrant.e.s,migrations,travail rémunéré","Christine Verschuur,Fenneke Reysoo",2005,Anthropologie,Suisse
Le genre : un outil nécessaire,"lutte pour les droits des femmes,égalité des genres,émancipation","Christine Verschuur,Jeanne Bisilliat",2000,Anthropologie,Suisse
La Révolution du féminin,"corps,corps féminin.s,phénoménologie",Camille Froidevaux-Metterie,2015,Essai,France
"Genre,mouvements populaires urbains et environnement","Nature,anti-essentialisme,appropriation de l'espace public,essentialisme,genre,écoféminisme,écologie,écologie politique",Christine Verschuur,2007,Anthropologie,Suisse
"Genre,mondialisation et pauvreté","division sexuelle du travail,inégalités,mondialisation néolibérale,pauvreté,travail reproductif,travail rémunéré","Christine Verschuur,Fenneke Reysoo",2002,Anthropologie,Suisse
"Genre,postcolonialisme et diversité des mouvements de femmes","féminisme décolonial,genre,intersectionnalité,post-colonialisme,race",Christine Verschuur,2010,Anthropologie,Suisse
"Sous le développement,le genre","développement,genre,inégalités,néo-libéralisme",Hélène Guétat-Bernard,2015,"Anthropologie,Economie,Géographie,Sociologie",Suisse
Genre et religion : des rapports épineux,"avortement,droits des femmes,genre,religion",Christine Verschuur,2015,Anthropologie,Suisse
"Femmes,villes et environnement","appropriation de l'espace public,division sexuelle du travail,espace domestique,espace public,migrations,ville","Isabelle Milbert,Yvonne Preiswerk",1995,"Anthropologie,Sciences sociales",Suisse
Parole de femme,"charge mentale,domination masculine,émancipation",Annie Leclerc,1974,Essai,France
Ainsi soit-elle,"corps féminin.s,droits des femmes,émancipation",Benoîte Groult,1975,"Essai,Sociologie",France
"La Virginité féminine : mythes,fantasmes,émancipation","virginité,émancipation",Yvonne Knibiehler,2012,Histoire,France
Domestic Violence Law Reform and Women's Experience in Court: The Implementation of Feminist Reforms in Civil Proceedings,"justice féministe,violences conjugales,violences familiales,violences sexuelles",Rosemary Hunter,2008,Juridique,Australie
The Hidden Gender of Law,"violence,violences,violences sexuelles",Liz Kelly,1990,"Juridique,Sociologie",Royaume-Uni
"The Hidden Gender of Law","discrimination positive,droit du foetus,droits de l'humain,droits des femmes,droits reproductifs,santé procréative,violences familiales,violences sexuelles","Jenny Morgan,Regina Graycar",2002,"Droit,Juridique",Australie
Surviving Sexual Violence,"viol,violence,violences,violences conjugales,violences sexuelles",Liz Kelly,1988,"Feminist studies,Sciences sociales",Etats-Unis
Ne suis-je pas une femme ? Femmes noires et féminisme / Ain't I a Woman?: Black women and feminism,"black feminism,femmes noires,féminisme intersectionnel,racisme,racisme institutionnel,racisme structurel",bell hooks,1981,"Essai,Feminist studies",Etats-Unis
"Herstory,histoire(s) des féminismes","histoire des femmes,histoire des féminismes,intersectionnalité","Anna Wanda Gogusey,Marie Kirschen",2021,Essai,France
Féminismes et pop culture,"LGBT,LGBTQIA+,antiracisme,cancel culture,grossophobie,médias,pop culture,société de consommation",Jennifer Padjemi,2021,Essai,France
Critical Race Theory: Key Documents That Shaped the Movement,"féminisme intersectionnel,intersectionnalité",Kimberlé Crenshaw,1996,Essai,Etats-Unis
"Queer and trans migrations - Dynamics of Illegalization,Detention,and Deportation","LGBT,LGBTQIA+,migrations,transidentité,transition","Eithne Luibhéid,Karma R. Chávez",2020,Gender studies,Etats-Unis
"Pregnant on Arrival: Making the Illegal Immigrant","LGBT,LGBTQIA+,grossesse,migrant.e.s,migrations,queer",Eithne Luibhéid,2013,"Anthropologie,Gender studies",Etats-Unis
Entry Denied: Controlling Sexuality at the Border,"Etats-Unis,LGBT,LGBTQIA+,migrant.e.s,migrations,prostitution,sexualité.s",Eithne Luibhéid,2002,"Anthropologie,Philosophie",Etats-Unis
Queer Migration Politics: Activist Rhetoric and Coalitional Possibilities,"LGBT,LGBTQIA+,intersectionnalité,migrant.e.s,migrations,queer,queer studies",Karma R. Chávez,2013,"Queer studies,Sciences sociales","Etats-Unis,Mexique"
Les damnées de la mer - Femmes et frontières en Méditerranée,"domination masculine,migrant.e.s,migrations",Camille Schmoll,2020,"Géographie,Sociologie",France
Queering the Global Filipina Body - Contested Nationalisms in the Filipina/o Diaspora,"LGBTQIA+,diaspora,migrations,queer,queer studies",Gina K. Velasco,2020,Feminist studies,Etats-Unis
Défaire le genre,"gender studies,genre,identité.s de genre,sexualité.s",Judith Butler,2006,Philosophie,Etats-Unis
Gayfriendly - Acceptation et contrôle de l'homosexualité à Paris et à New York,"LGBT,LGBTQIA+,gay studies,homophobie,homosexualité",Sylvie Tissot,2018,Sociologie,France
Archives des mouvements lgbt+ - Une histoire de luttes de 1890 a nos jours,"LGBT,LGBTQIA+,activisme,lutte,lutte pour les droits LGBT,visibilité LGBT",Antoine Idier,2018,"Histoire,Sociologie",France
Dissidanse rose. Fragments de vies homosexuelles à Lyon dans les années 1970,"LGBT,LGBTQIA+,visibilité LGBT",Antoine Idier,2012,Sociologie,France
40 LGBT+ qui ont changé le monde,"LGBT,LGBTQIA+,visibilité LGBT",Florent Manelli,2019,Portraits,France
Les alinéas au placard. L’abrogation du délit d’homosexualité (1977-1982),"LGBT,LGBTQIA+,homosexualité,visibilité LGBT",Antoine Idier,2013,Sociologie,France
Jeunes trans et non binaires - de l'accompagnement à l'affirmation,"LGBT,LGBTQIA+,non-binarité,transfuge de sexe,transidentité,transition","Annie Pullen Sansfaçon,Denise Medico",2021,Gender studies,Canada
Introduction aux études sur le genre,"gender studies,genre,injonctions,sexisme,stéréotypes","Alexandre Jaunait,Anne Revillard,Laure Bereni,Sébastien Chauvin",2020,"Gender studies,Sciences sociales",France
Pride - L'histoire du mouvement LGBTQ pour l'égalité,"LGBT,LGBTQIA+,lutte pour les droits LGBT,pride",Matthew Todd,2019,Histoire,Etats-Unis
Sociologie de l'homosexualité,"LGBT,LGBTQIA+,homosexualité","Arnaud Lerch,Sébastien Chauvin",2013,Sociologie,France
"Queer Phenomenology: Orientations,Objects,Others","LGBT,LGBTQIA+,queer,queer studies",Sara Ahmed,2006,Essai,"Australie,Royaume-Uni"
Global Gay - La longue marche des homosexuels,"LGBT,LGBTQIA+,queer,queer studies",Frédéric Martel,2017,"Sciences sociales,Sociologie",France
Sodoma - Enquête au coeur du Vatican,"homophobie,homosexualité",Frédéric Martel,2019,"Sciences sociales,Sociologie",France
"Le Rose et le Noir,Les homosexuels en France depuis 1968","LGBT,LGBTQIA+,couple homosexuel,homophobie,homosexualité",Frédéric Martel,1996,"Sciences sociales,Sociologie",France
Differences that Matter: Feminist Theory and Postmodernism,"histoire des féminismes,post-modernisme",Sara Ahmed,1998,Sociologie,"Australie,Royaume-Uni"
On ne choisit pas qui on aime,"LGBT,LGBTQIA+,amour.s,catholicisme,couple,féminisme chrétien,religion catholique",Marie-Clemence Bordet-Nicaise,2019,Témoignages,France
Chattologie - Essai menstruel avec des dessins dedans,"contraception,menstruations,règles,sang menstruel,tabou","Klaire fait Grr,Louise Mey",2021,Essai,France
L'homophobie,"LGBT,homophobie,homosexualité","Caroline Mécary,Daniel Borrillo",2019,"Droit,Juridique","Argentine,France,Italie"
Je ne sais pas quoi faire des gentils blancs,"Black Lives Matter,racisme,racisme structurel",Brit Bennett,2021,Essai,Etats-Unis
"Comprendre l'homosexualité - Clés et conseils pour les homosexuels,leurs familles,leurs thérapeutes","LGBT,LGBTQIA+,PACS,couple homosexuel,homophobie,homosexualité",Marina Castañeda,1999,Psychologie,Mexique
"Biologie de l'homosexualité - On naît homosexuel,on ne choisit pas","LGBT,LGBTQIA+,couple homosexuel,homosexualité",Jacques Balthazart,2010,"Essai,Neurobiologie",Belgique
L'histoire de l'homosexualité féminine,"LGBT,LGBTQIA+,homosexualité",Louise-Marie Libert,2018,Histoire,Belgique
L' Homosexualité féminine dans l'Antiquité grecque et romaine,"LGBT,LGBTQIA+,homosexualité",Sandra Boehringer,2007,Histoire,France
Homosexualité - Aimer en Grèce et à Rome,"LGBT,LGBTQIA+,amour.s,homosexualité","Louis-Georges Tin,Sandra Boehringer",2010,Histoire,France
Le coût de la virilité,"domination masculine,masculinité toxique,violences,violences sexuelles,virilité",Lucile Peytavin,2021,Essai,France
"Le sexe selon Maïa - au-delà des idées reçues","consentement,injonction à la minceur,injonctions,sexe,sexualité féminine,sexualité.s,éducation à la sexualité",Maïa Mazaurette,2020,Essai,France
Sororité,"amitié.s,sororité",Chloé Delaume,2021,Essai,France
Une histoire de genres - Guide pour comprendre et défendre les transidentités,"LGBT,LGBTQIA+,genre,non-binarité,transidentité,transition",Lexie,2021,"Guide,Histoire",France
Histoire du célibat,"amour.s,asexualité,célibat,sexualité.s",Elizabeth Abbott,2003,Histoire,Canada
Endométriose : Ce que les autres pays ont à nous apprendre,"endométriose,règles","Marie-Rose Gales,Morgane Carlier",2020,Enquête,France
Une lutte sans trêve,"afro-féminisme,droits civiques,femmes noires,intersectionnalité",Angela Davis,2016,"Essai,Feminist studies,Sociologie",Etats-Unis
Blues et féminisme noir,"afro-féminisme,femmes noires,histoire de l'art,musique",Angela Davis,2017,"African studies,Musique",Etats-Unis
"Notre corps,nous-mêmes - Écrit par des femmes,pour les femmes","PMA,avortement,contraception,corps,grossesse,injonction à la beauté,injonction à la minceur,injonctions,postpartum,puberté,santé,sexualité féminine,sexualité.s",Collectif,2020,Essai,France
Living a feminist life,"LGBT,LGBTQIA+,expérience,feminist killjoy,queer studies",Sara Ahmed,2017,Essai,"Australie,Royaume-Uni"
L'amazone verte,"écoféminisme,écologie",Elise Thiébaut,2021,Portraits,France
Françoise d'Eaubonne et l'écoféminisme,"écoféminisme,écologie",Caroline Goldblum,2019,Portraits,France
Femmes publiques,"appropriation de l'espace public,corps,espace public",Michelle Perrot,2003,Histoire,France
Femmes et économie solidaire,"collectivités,pauvreté,solidarité,économie,économie solidaire","Isabelle Guérin,Jean-Louis Laville",2003,"Economie,Sociologie",France
Féminismes : 150 ans d'idées reçues,"histoire des femmes,histoire des féminismes,lutte pour les droits des femmes",Christine Bard,2020,Histoire,France
Femmes invisibles - Comment le manque de données sur les femmes dessine un monde fait pour les homme,"appropriation de l'espace public,représentations,santé,sexisme,ville",Caroline Criado Perez,2020,"Enquête,Sociologie",Royaume-Uni
"Encyclopédie critique du genre - Corps,sexualité,rapports sociaux","corps,genre,rapport hommes femmes,sexualité.s",Juliette Rennes,2017,Sciences sociales,France
"Le mérite et la nature. Une controverse républicaine,l'accès des femmes aux professions de prestige,1880-1940","discriminations,sexisme",Juliette Rennes,2007,Sciences sociales,France
Mon ado change de genre,"LGBT,LGBTQIA+,queer studies,transidentité,transition",Elisabeth Bligny,2020,Guide,France
"La croisade""anti-genre"": du Vatican aux manifs pour tous","Vatican,avortement,genre,manif pour tous,sexualité.s,théorie du genre,église catholique","Massimo Prearo,Sara Garbagnoli",2017,Sciences politiques,Italie
Manifeste d'une femme trans et autres textes,"LGBT,LGBTQIA+,queer studies,transféminisme,transidentité,transition",Julia Serano,2020,"Essai,Sciences sociales",Etats-Unis
Autotheory as Feminist Practice in Art Writing and Criticism,"activisme,art,autotheory,performance artistique",Lauren Fournier,2021,Essai,Canada
"Une histoire sociale de la prostitution - Montréal,1800-1850","Québec,famille.s,prostitution,sexualité.s,transgression sexuelle,travailleur.euse.s du sexe,violences sexuelles",Mary Anne Poutanen,2015 - 2021,"Histoire,Sciences sociales","Canada,Québec"
Repenser la nation - L'histoire du suffrage féminin au Québec,"citoyenneté,droit de vote,droits des femmes,lutte pour les droits des femmes,mouvements sociaux,nation,pouvoir politique,suffrage féminin",Denyse Baillargeon,2019,Histoire,"Canada,Québec"
Ces audacieuses qui ont façonné le Québec : 60 portraits de femmes entêtées,"Québec,histoire des femmes","Gilles Proulx,Louis-Philippe Messier",2020,"Histoire,Portraits","Canada,Québec"
"Les femmes aussi sont du voyage - L'émancipation par le départ","indépendance,liberté,maternité.s,voyage,voyageuse,émancipation",Lucie Azema,2021,Essai,France
"L’arcane de la reproduction - Femmes au foyer,prostituées,ouvriers et capital","capitalisme patriarcal,exploitation capitaliste,famille capi­ta­liste,féminisme marxiste,travail gratuit,travail reproductif",Leopoldina Fortunati,2022,Sociologie,Italie
Parcours de travailleuses domestiques québécoises 1950-2000,"Québec,care,division sexuelle du travail,salariat,travail domestique,travail gratuit,travail ménager,travail salarié",Catherine Charron,2018,"Sciences sociales,Sociologie",Québec
Stepping Off the Relationship Escalator: Uncommon Love and Life,"couple,hétéronormativité,injonctions",Amy Gahran,2017,Essai,Etats-Unis
"Rêver l’obscur. Femmes,magie et politique","action directe non violente,altermondialisme,antimilitarisme,lutte,magie,rituels,sorcière néopaïenne,sorcières",Starhawk,1982 - 2016,Essai,Etats-Unis
Cycle féminin et contraceptions naturelles: Pour une féminité consciente et épanouie,"arrêt de la pilule,contraception,cycles,pilule",Audrey Guillemaud,2019,"Médecine,Santé",France
"Unbearable Weight : Feminism,Western Culture,and the Body","anorexie,grossophobie,injonction à la minceur,troubles alimentaires",Susan Bordo,1993,Essai,Etats-Unis
"Trouble dans le genre. Le féminisme et la subversion de l’identité","genre,non-binarité,queer studies",Judith Butler,1990,"Essai,Philosophie",Etats-Unis
Le système de genre : introduction aux concepts et théories,genre,Lorena Parini,2006,Gender studies,Suisse
"Femmes,manifestez-vous !","lutte pour les droits des femmes,émancipation",Taslima Nasreen,1994,"Essai,Manifeste",Bangladesh
"Sorcières,sages-femmes et infirmières : une histoire des femmes soignantes","care,corps médical,santé,soignants","Barbara Ehrenreich,Deirdre English",1973,Santé,Etats-Unis
Complaints and Disorders : The Sexual Politics of Sickness,"corps,corps féminin.s,corps médical,santé","Barbara Ehrenreich,Deirdre English",1974,Santé,Etats-Unis
Il y a deux sexes. Essais de féminologie,"corps,féminologie,sexe,sexe biologique",Antoinette Fouque,1995,Essai,France
"Le féminisme ou la mort","capitalisme patriarcal,exploitation capitaliste,écoféminisme,écologie",Françoise d'Eaubonne,1974 - 2020,Essai,France
Afrotrans,"LGBT,LGBTQIA+,afro-féminisme,femmes noires,queer studies,transidentité",Michaëla Danjé,2020,Témoignages,France
Histoire des mères et de la maternité en Occident,"désir d'enfant,maternité.s,mère.s,éducation",Yvonne Knibiehler,2017,Histoire,France
"King Kong Théorie","pornographie,prostitution,soumission,viol",Virginie Despentes,2006,Essai,France
"Penser le genre","genre,organisation sociale",Christine Delphy,2013,Sociologie,France
"Chère Ijeawele,ou manifeste pour une éducation féministe","éducation,éducation non genrée",Chimamanda Ngozi Adichie,2017,Manifeste,Nigeria
SCUM Manifesto - Association pour tailler les hommes en pièces,"féminisme radical,misandrie",Valérie Solanas,1967,Manifeste,Etats-Unis
Idées reçues sur l’endométriose,"endométriose,règles","Charles Chapron,Yasmine Candau",2020,"Guide,Santé",France
Racée,"intersectionnalité,racisme",Rachel Khan,2021,Essai,France
Journalisme de combat pour l’égalité des sexes- La plume dans la plaie du sexisme,"journalisme,médias,représentations",Isabelle Germain,2021,Essai,France
"White privilege - The myth of a post-racial society","privilège blanc,racisme,racisme institutionnel,racisme structurel",Kalwant Bhopal,2018,"Essai,Sciences sociales",Royaume-Uni
J'ai décidé de ne pas être mère,"désir d'enfant,maternité.s,non désir d'enfant",Chloé Chaudet,2021,"Essai,Sciences sociales",France
La paix des ménages - Histoire des violences conjugales XIXe-XXIe siècle,"couple hétérosexuel,violences,violences conjugales,violences sexuelles",Victoria Vanneau,2016,Histoire,France
Je veux me battre partout où il y a de la vie,"antifascisme,féminisme socialiste,lutte pour les droits des femmes,luttes ouvrières",Clara Zetkin,2021,Biographie,Allemagne
"Sylvia Pankhurst - Féministe,anticolonialiste,révolutionnaire","anarchisme,anticolonialisme,antifascisme,antiracisme,féminisme anarchiste,féminisme révolutionnaire,lutte pour les droits des femmes,luttes ouvrières,égalité des femmes",Marie-Hélène Dumas,2019,Biographie,Libertalia
"Sorcières,la puissance invaincue des femmes","chasses aux sorcières,féminicides,patriarcat,puissance,sorcellerie,sorcières",Mona Chollet,2019,Essai,France
D'espoir et de raison. Écrits d'une insoumise,"anarchisme,féminisme anarchiste",Voltairine de Cleyre,2008 réédité en 2018,Essai,Etats-Unis
Femmes et anarchistes,"anarchisme,anticapitalisme,esclavage sexuel,féminisme anarchiste,féminisme libertaire,mariage,prostitution,travail reproductif","Emma Goldman,Voltairine de Cleyre",2014,"Essai,Sciences sociales",Etats-Unis
De l'amour et des bombes. Épopée d'une anarchiste,"anarchisme,féminisme anarchiste,féminisme libertaire,militantisme",Emma Goldman,2011,"Autobiographie,Essai",Etats-Unis
Vivre ma vie - Une anarchiste au temps des révolutions (Living my life),"anarchisme,antimilitarisme,contraception,contrôle des naissances,féminisme anarchiste,lutte pour les droits des femmes","Emma Goldman,Jacqueline Reuss,Laure Batier",2018,"Autobiographie,Essai,Sciences sociales",Etats-Unis
"Emma Goldman,une éthique de l'émancipation","Emma Goldman,activisme,anarchisme,féminisme anarchiste,lutte pour les droits des femmes,militantisme",Max Leroy,2014,Biographie,France
Tu seras un homme féministe mon fils,"construction des masculinités,genre,injonctions,masculinité.s,stéréotypes,éducation,éducation non genrée",Aurélia Blanc,2018,Essai,France
"Beauté fatale,les nouveaux visages d’une aliénation féminine","aliénation féminine,anorexie,corps,injonction à la beauté,injonction à la minceur,injonctions,troubles alimentaires",Mona Chollet,2012,Essai,France
"Des femmes contre des missiles - Rêves,idées et actions à Greenham Common",antimilitarisme,"Alice Cook,Gwyn Kirk",2016,Essai,Etats-Unis
Réinventer l'amour - comment le patriarcat sabote les relations hétérosexuelles,"couple,couple hétérosexuel,hétéronormativité,hétérosexualité,patriarcat",Mona Chollet,2021,Essai,France
"Chez soi,une odyssée de l’espace domestique","espace domestique,travail domestique,violences conjugales",Mona Chollet,2015,Essai,France
Génération Q,"LGBT,pornographie,sexualité féminine,sexualité.s",Docteur Kpote,2018,Guide,France
La femme populaire rebelle,"espace domestique,espace public,lutte pour les droits des femmes,luttes ouvrières,ouvrières,résistance,travail domestique,travail ménager",Michelle Perrot,1979,Histoire,France
De l'utilité du genre,"genre,identité.s,identité.s de genre,politique",Joan W. Scott,2012,Histoire,Etats-Unis
Théorie critique de l'histoire,"histoire,histoire des femmes,représentations",Joan W. Scott,2009,Histoire,Etats-Unis
La politique du voile,"femmes musulmanes,féminismes islamiques,voile",Joan W. Scott,2007 - 2017,Histoire,Etats-Unis
Mœurs et sexualité en Océanie,"division sexuelle du travail,sexualité.s",Margaret Mead,1963 - 1993,Anthropologie,Etats-Unis
"La domination masculine","domination masculine,patriarcat",Pierre Bourdieu,1998,Sociologie,France
On ne nait pas soumise on le devient,soumission,Manon Garcia,2018,Philosophie,France
"La charge sexuelle - Désir,plaisir,contraception,IST... encore l'affaire des femmes","charge mentale,charge sexuelle,contraception,désir,plaisir féminin","Caroline Michel,Clémentine Gallot",2020,Essai,France
La crise de la masculinité : autopsie d’un mythe tenace,"crise de la masculinité,hétéronormativité,masculinité.s,privilèges,virilité",Francis Dupuis-Déri,2018,Feminist studies,"France,Québec"
"Le Mythe de la virilité,un piège pour les deux sexes",virilité,Olivia Gazalé,2019,Sociologie,France,
"Masculinités,enjeux sociaux de l’hégémonie","domination masculine,masculinité complice,masculinité hégémonique,masculinités subordonnée,patriarcat",Raewyn Connell,1995,Sociologie,Australie
Le Genre du capital. Comment la famille reproduit les inégalités,"accumulation de richesses,couple hétérosexuel,héritage,patrimoine","Céline Bessière,Sibylle Gollac",2020,Sociologie,France
Descente au cœur du mâle,"#MeToo,culture du viol,harcèlement,harcèlement sexuel,violences sexuelles,virilité",Raphaël Liogier,2018,"Sciences sociales,Sociologie",France
L'avocat était une femme - Le procès de leur vie,"justice,procès pénal","Julia Minkowski,Lisa Vignoli",2022,Juridique,France
J’arrête la pilule,"arrêt de la pilule,contraception,pilule",Sabrina Debusquat,2017,"Enquête,Santé",France
Le génie lesbien,"LGBT,LGBTQIA+,lesbianisme,misandrie",Alice Coffin,2020,Essai,France
Nous sommes tous des féministes,"discriminations,féminisme libéral,féminisme pro choix,égalité,égalité des genres,égalité des sexes,émancipation",Chimamanda Ngozi Adichie,2014,Essai,"Etats-Unis,Nigeria"
Masculin-Féminin I : la pensée de la différence,"concept du féminin,concept du masculin,fabrication du masculin",Françoise Héritier,1996,Anthropologie,France
Masculin-Féminin II : dissoudre la hiérarchie,"concept du féminin,concept du masculin,domination masculine,fabrication du masculin",Françoise Héritier,2008,Anthropologie,France
"Femmes,race et classe","classe sociale,féminisme intersectionnel,intersectionnalité,race",Angela Davis,2007,Feminist studies,Etats-Unis
"Féminisme dans le monde,23 récits d’une révolution planétaire","activisme,crise écologique et climatique,droits des femmes,droits des minorités,féminisme décolonial,lutte pour les droits des femmes,militantisme,révolution,écologie","Fanny Gallot,Pauline Delage",2020,"Feminist studies,Histoire,Sciences sociales,Sociologie",Monde
"La place des femmes,une difficile conquête de l’espace public","appropriation de l'espace public,espace public",Michelle Perrot,2020,Histoire,France
"Le féminisme irréductible,discours sur la vie et la loi","domination masculine,harcèlement,harcèlement sexuel,violences,violences sexuelles",Catharine A. MacKinnon,2020,"Droit,Juridique",Etats-Unis
Sexual Politics : la politique du mâle,"constructions sociales,domination masculine,domination sociale,normes sociales",Kate Millett,2020,Littérature,Etats-Unis
MLF Psychanalyse et politique - 1968-2018,"M.L.F.,MLF",Antoinette Fouque,2019,"Sciences politiques,Sciences sociales",France
L'ennemi principal,"domination masculine,inconscient patriarcal,patriarcat",Christine Delphy,1998 - 2001,"Sciences sociales,Sociologie",France
Burn It Down - Feminist Manifestos for the revolution,"féminisme révolutionnaire,luttes révolutionnaires,révolution",Breanne Fahs,2020,"Manifeste,Sciences politiques",Etats-Unis
Féminismes islamique,"féminisme décolonial,féminismes islamiques,islam",Zahra Ali,2012,Sociologie,France
Les féministes blanches et l'empire,"féminisme décolonial,pensée décoloniale,racisme,racisme structurel","Félix Boggio Ewanjé-Epée,Stella Magliani-Belkacem",2012,"Essai,Sciences sociales",France
The Verso Book of Feminism - Revolutionary Words from Four Millennia of Rebellion,"activisme,appropriation des corps,domination masculine,lutte pour les droits des femmes,luttes révolutionnaires,rapport de domination",Jessie Kindig,2020,Sciences politiques,Etats-Unis
Une culture du viol à la française,"culture du viol,viol,violences sexuelles",Valérie Rey Robert,2020,Essai,France
"Petit guide du «disempowerment» pour hommes proféministes","domination masculine,empouvoirement,empowerment,masculinité.s,rapport hommes femmes,émancipation",Francis Dupuis-Déri,2014,Guide,"Canada,Québec"
Féminisme pour les 99%,"antimilitarisme,antipatriarcal,antiracisme,antisexisme,féminisme radical,féminisme révolutionnaire","Cinzia Arruszza,Nancy Fraser,Tithi Bhattacharya","2019","Philosophie,Sciences sociales",Etats-Unis
Etre écoféministe théories et pratiques,"écoféminisme,écologie",Jeanne Burgart Goutal,2020,Philosophie,France
"La force du collectif - Réseau citoyens résistants","collectivités,résistance",Charles Piaget,"2012",Manifeste,France
"Vilaines filles - Les travailleuses du sexe,les clientes et la journaliste","TDS,prostitution,travailleur.euse.s du sexe",Pauline Verduzier,2020,"Enquête,Sciences sociales",France
Devenir Beauvoir la force de la volonté,"Simone de Beauvoir,amour.s",Kate Kirkpatrick,2020,Biographie,Royaume-Uni
Le racisme est un problème de blanc,"privilège blanc,racisme,racisme structurel",Reni Eddo-Lodge,2018,Essai,Royaume-Uni
Balance ton corps - Manifeste pour le droit des femmes à disposer de leurs corps,"LGBTQIA+,TDS,afro-féminisme,corps,corps féminin.s,féminisme intersectionnel,intersectionnalité,queer,sexualité féminine,sexualité.s,travailleur.euse.s du sexe","Bebe Melkor-Kadior,Bertouille Beaurebec",2020,Manifeste,France
Soi-même comme un roi - essai sur les dérives identitaires,"altérité,clivages,extrême droite,identité nationale,identité.s,lutte pour les droits des femmes,polarisation",Elisabeth Roudinesco,2021,Histoire,France
